#	Trait	SNP rs	Context	Gene	Gene ID	Gene 2	Gene ID 2	Chromosome	Location	P-Value	Source	PubMed	Analysis ID	Study ID	Study Name	Population
32	Cytokine Receptor gp130	356191	intron	SNCA	6622	SNCA	6622	4	89766969	2.0930000E-005	dbGaP	0	3748	215	Genome-Wide Association Analysis of Biomarkers in the InCHIANTI and BLSA	European
33	Cytokine Receptor gp130	356188	intron	SNCA	6622	SNCA	6622	4	89770386	2.1120000E-005	dbGaP	0	3748	215	Genome-Wide Association Analysis of Biomarkers in the InCHIANTI and BLSA	European
34	Parkinson Disease	12644119	intergenic	GPRIN3	285513	SNCA	6622	4	89682268	2.15E-5	dbGaP	19915575	2868	89	NINDS- Genome-Wide Genotyping in Parkinson's Disease	European
35	Cytokine Receptor gp130	2583978	intron	SNCA	6622	SNCA	6622	4	89829175	2.4690000E-005	dbGaP	0	3748	215	Genome-Wide Association Analysis of Biomarkers in the InCHIANTI and BLSA	European
36	Parkinson Disease	894278	intron	SNCA	6622	SNCA	6622	4	89813384	2.64E-5	dbGaP	19915575	2868	89	NINDS- Genome-Wide Genotyping in Parkinson's Disease	European
37	Cytokine Receptor gp130	2197120	intron	SNCA	6622	SNCA	6622	4	89808451	2.7960000E-005	dbGaP	0	3748	215	Genome-Wide Association Analysis of Biomarkers in the InCHIANTI and BLSA	European
38	C-Reactive Protein	7678651	intergenic	SNCA	6622	MMRN1	22915	4	89847220	5.09992075077292E-5	dbGaP	17903293	1131	342	NHLBI Framingham SNP Health Association Resource (SHARe)	European
39	Parkinson Disease	356229	intergenic	GPRIN3	285513	SNCA	6622	4	89685446	5.48E-5	dbGaP	21829596	2865	126	CIDR: Genome Wide Association Study in Familial Parkinson Disease (PD)	European
40	Alcoholism	6532194	intergenic	SNCA	6622	MMRN1	22915	4	89859751	8.29928e-005	dbGaP	22978509	2906	92	Study of Addiction: Genetics and Environment (SAGE)	European
41	Parkinson Disease	356188	intron	SNCA	6622	SNCA	6622	4	89770386	8.41E-5	dbGaP	21829596	2865	126	CIDR: Genome Wide Association Study in Familial Parkinson Disease (PD)	European
42	Parkinson Disease	1504489	intergenic	GPRIN3	285513	SNCA	6622	4	89337437	8.42E-5	dbGaP	21829596	2865	126	CIDR: Genome Wide Association Study in Familial Parkinson Disease (PD)	European
43	Parkinson Disease	4106153	intergenic	GPRIN3	285513	SNCA	6622	4	89323325	9.18E-5	dbGaP	21829596	2865	126	CIDR: Genome Wide Association Study in Familial Parkinson Disease (PD)	European
44	Myocardial Infarction	1473533	intergenic	GPRIN3	285513	SNCA	6622	4	89595528	3.8409762E-004	dbGaP	0	2883	226	STAMPEED: Cardiovascular Health Study (CHS)	African American
